address,parsed_address,latitude,longitude,st_makepoint
"HOUSE/FLAT # 261, EAST AHAMMADNGAR, MIRPUR-1,DHAKA-1216, CONTACT NO: 01744209464","261, ",23.79218108,90.3591,POINT (90.3591 23.79218108)
"HOUSE/FLAT # 293/1, WEST AHMED NAGAR PAIKPARA, MIRPUR, CONTACT NO: 01534587673","293/1, ",23.7929324,90.35760678,POINT (90.35760678 23.7929324)
"HOUSE/FLAT # 293, WEST AHMED NAGAR PAIKPAR, MIRPUR , CONTACT NO: 01716878115","293, ",23.79294383,90.35753502,POINT (90.35753502 23.79294383)
"HOUSE/FLAT # 196/A, AHMED NAGAR, MIRPUR, CONTACT NO: 01733914826","196/A,",23.79245515,90.35978109,POINT (90.35978109 23.79245515)
"HOUSE/FLAT # 302/3, BLOCK # AHMMEDNAGAR PAIKPARA, MIRPUR, CONTACT NO: 01817030782","302/3, ",23.79352133,90.35705507,POINT (90.35705507 23.79352133)
"HOUSE/FLAT # 236/GA, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO:  , 01715114750","236/GA,",23.794132,90.35878392,POINT (90.35878392 23.794132)
"HOUSE/FLAT # 213, AHMED NAGAR,PAIK PARA, MIRPUR, CONTACT NO: 01679719237","213,",23.7938026,90.35908777,POINT (90.35908777 23.7938026)
"HOUSE/FLAT # 153, AHMED NAGAR, MIRPUR, CONTACT NO: 01726654064","153, ",23.79428321,90.36115185,POINT (90.36115185 23.79428321)
"HOUSE/FLAT # 282, AHMEDNAGAR, MIRPUR, CONTACT NO: 01911199078","282, ",23.79227327,90.35823248,POINT (90.35823248 23.79227327)
"HOUSE/FLAT # 302/1, AHMED NAGAR, MIRPUR, CONTACT NO: 01911557733","302/1, ",23.79369028,90.35736458,POINT (90.35736458 23.79369028)
"HOUSE/FLAT # 195, AHMED NAGAR, MIRPUR, CONTACT NO: 01715630567","195, ",23.79236633,90.36012164,POINT (90.36012164 23.79236633)
"HOUSE/FLAT # 178/4,  AHMED NAGAR PAIKPARA   , MIRPUR, CONTACT NO: 01972909395","178/4, ",23.79349609,90.36058837,POINT (90.36058837 23.79349609)
"HOUSE/FLAT # 228,  AHAMED NAGAR, MIRPUR, CONTACT NO: 01612222036","228,  ",23.79429532,90.35947487,POINT (90.35947487 23.79429532)
"HOUSE/FLAT # 206/1-GA , AHMED NAGAR, MIRPUR, CONTACT NO: 01674173567","206/1-GA ,",23.7937925,90.35978667,POINT (90.35978667 23.7937925)
"HOUSE/FLAT # 151, -JONAKI ROAD AHMED NAGOR, MIRPUR-1216, CONTACT NO: 01920722627","151, ",23.7938257,90.36133339,POINT (90.36133339 23.7938257)
"HOUSE/FLAT # 148/4, AHMED NAGAR, MIRPUR-1, CONTACT NO: 01913624358","148/4, ",23.79237933,90.36130694,POINT (90.36130694 23.79237933)
"HOUSE/FLAT # 250/2/C/2, AHMED NAGAR, MIRPUR, CONTACT NO: 01852153867","250/2/C/2, ",23.79344602,90.35775443,POINT (90.35775443 23.79344602)
"HOUSE/FLAT # 239/2, AHMEDNAGOR, MIRPUR, CONTACT NO: 01774972727","239/2, ",23.79482258,90.35846948,POINT (90.35846948 23.79482258)
"HOUSE/FLAT # 73/G/1, AHMED NAGOR, MIRPUR, CONTACT NO: 01714066581","73/G/1, ",23.79382239,90.36173918,POINT (90.36173918 23.79382239)
"HOUSE/FLAT # 348/1, AHMED NAGOR, MIRPUR, CONTACT NO: 01715074233","348/1, ",23.79338501,90.35639214,POINT (90.35639214 23.79338501)
"HOUSE/FLAT # 334/1/A, AHAMMED NAGOR, MIRPUR, CONTACT NO: 01915471132","334/1/A, ",23.79317056,90.3550881,POINT (90.3550881 23.79317056)
"HOUSE/FLAT # 357/A/1, AHAMED NAGOR, MIRPUR, CONTACT NO: 01300723914","357/A/1, ",23.79297784,90.35665889,POINT (90.35665889 23.79297784)
"HOUSE/FLAT # 224/1/A, AHMED NAGAR, MIRPUR, CONTACT NO: 01712830313","224/1/A, ",23.79405501,90.35930868,POINT (90.35930868 23.79405501)
"HOUSE/FLAT # 279/1/B, AHMED NOGOR, MIRPUR, CONTACT NO: 01670244927","279/1/B,",23.79187848,90.3584052,POINT (90.3584052 23.79187848)
"HOUSE/FLAT # 52/9, AHMAD NAGAR, MIRPUR, CONTACT NO: 01718216746","52/9, ",23.79511243,90.35982567,POINT (90.35982567 23.79511243)
"HOUSE/FLAT # 202, AHMED NAGAR, MIRPUR, CONTACT NO: 01819210079","202,",23.79270448,90.35975015,POINT (90.35975015 23.79270448)
"HOUSE/FLAT # 160/2, AHAMED NAGAR, MIRPUR, CONTACT NO: 01714498496","160/2, ",23.79540717,90.36094132,POINT (90.36094132 23.79540717)
"HOUSE/FLAT # 304/1/C, AHMEDNAGAR, MIRPUR, CONTACT NO: 01714051419","304/1/C, ",23.79377558,90.35727959,POINT (90.35727959 23.79377558)
"HOUSE/FLAT # 213/A, AHMADNAGAR, MIRPUR, CONTACT NO: 01778924616","213/A, ",23.79383777,90.35923437,POINT (90.35923437 23.79383777)
"HOUSE/FLAT # 252, AHAMED NAGAR, MIRPUR, CONTACT NO: 01974558995","252,",23.79311687,90.35852937,POINT (90.35852937 23.79311687)
"HOUSE/FLAT # 333/2, AHAMMEDNAGAR, ROAD # AKOTA , MIRPUR, CONTACT NO: 01742842842","333/2, ",23.79412864,90.35565633,POINT (90.35565633 23.79412864)
"HOUSE/FLAT # 153/1,AHMED NAGAR, ROAD # JONAKI , MIRPUR, CONTACT NO: 01939014129","153/1,",23.79412527,90.36105525,POINT (90.36105525 23.79412527)
"HOUSE/FLAT # 231/1, AHMED NAGAR, MIRPUR, CONTACT NO: 01796606364","231/1,",23.79461194,90.35984027,POINT (90.35984027 23.79461194)
"HOUSE/FLAT # 52/2/C/1, AHMED NAGAR, MIRPUR-1216, CONTACT NO: 01786336600","52/2/C/1, ",23.79524588,90.36051429,POINT (90.36051429 23.79524588)
"HOUSE/FLAT # 312., AHMED NAGAR, PAIKPARA, MIRPUR, CONTACT NO: 01685671012",312,23.79494084,90.35778476,POINT (90.35778476 23.79494084)
"HOUSE/FLAT # 301/1/A,,AHMED NAGAR, MIRPUR, CONTACT NO: 01715106650","301/1/A,",23.79320576,90.3573556,POINT (90.3573556 23.79320576)
"HOUSE/FLAT # 185/A, AHMED NAGAR PAIKPARA, MIRPUR, CONTACT NO: 01817602004","185/A,",23.79255913,90.36060181,POINT (90.36060181 23.79255913)
"HOUSE/FLAT # 250/2/C/2, PLOT # AHMED NAGAR, MIRPUR, DHAKA., CONTACT NO: 01628636513","250/2/C/2, ",23.79342762,90.35765491,POINT (90.35765491 23.79342762)
"346 AHMED NAGAR MIRPUR, DHAAK.",346,23.79327003,90.35700251,POINT (90.35700251 23.79327003)
"358/1, AHMED NAGAR MIRPUR, DHAKA","358/1,",23.7927737,90.35686341,POINT (90.35686341 23.7927737)
"HOUSE/FLAT # 301/B, AHMED NAGAR, MIRPUR, CONTACT NO: 01552447438","301/B, ",23.79331968,90.35767798,POINT (90.35767798 23.79331968)
"HOUSE/FLAT # 655, BLOCK # MIDDLE MONIPUR, MIRPUR, CONTACT NO: 01933361573","655, ",23.79312612,90.35661099,POINT (90.35661099 23.79312612)
"FLAT NO 3-C, 348/5/A,AHMED NAGAR MIRPUR DHAKA"," 348/5/A,",23.79302559,90.35641543,POINT (90.35641543 23.79302559)
"357/D/1,AHMED NAGAR,MIRPUR,DHAKA",357/D/1,23.7931768,90.35657304,POINT (90.35657304 23.7931768)
"348/1-B, AHMED NAGAR MIRPUR","348/1-B,",23.79366918,90.35633183,POINT (90.35633183 23.79366918)
"348/1- C,  AHMDD  NAGAR MIRPUR","348/1- C, ",23.79361482,90.35621752,POINT (90.35621752 23.79361482)
"333/1/D, AHMED NAGAR, MIRPUR, DHAKA.","333/1/D, ",23.79367102,90.35601276,POINT (90.35601276 23.79367102)
"333/1/D, AHMED NAGAR, MIRPUR, DHAKA. FRONT SIDE","333/1/D, ",23.79353988,90.35584041,POINT (90.35584041 23.79353988)
"333/4-D,AHMED NAGAR MIRPUR FRONT SIDE","333/4-D,",23.79389397,90.3556154,POINT (90.3556154 23.79389397)
315/D AHMED NAGAR MIRPUR DHAKA ,315/D ,23.79400462,90.35731967,POINT (90.35731967 23.79400462)
"45/2,EAST AHMED NAGAR","45/2,",23.79634812,90.36019024,POINT (90.36019024 23.79634812)
130/1 PAIK PARA MIRPUR DHAKA ,130/1 ,23.79274874,90.36203991,POINT (90.36203991 23.79274874)
"379, AHMED NAGAR MIRPUR, DHAKA","379, ",23.79234053,90.35688074,POINT (90.35688074 23.79234053)
"HOUSE/FLAT # 52/3/E, BLOCK # AHMED NAGAR, MIRPUR, DHAKA-1216, CONTACT NO: 01797184712 ","52/3/E,",23.7949726,90.36050046,POINT (90.36050046 23.7949726)
"HOUSE/FLAT # 333/4/A/2, PLOT # AHMED NAGAR, PAIKPARA, MIRPUR, CONTACT NO: 01813703930","333/4/A/2,",23.79298318,90.35520913,POINT (90.35520913 23.79298318)
"A-29, FLAT:15 , P.W.D. STAFF QUARTER, MIRPUR
","A-29, 
",23.79424524,90.35460756,POINT (90.35460756 23.79424524)
"A-29, FLAT:02 , P.W.D. STAFF QUARTER, MIRPUR
","A-29, 
",23.79425916,90.35473831,POINT (90.35473831 23.79425916)
"B-30,FLAT A-05, P.W.D. STAFF QUARTER , MIRPUR,DHAKA.

","B-30,

",23.79401597,90.35444108,POINT (90.35444108 23.79401597)
"257/1, AHMED NAGAR MIRPUR, DHAKA","257/1, ",23.79254339,90.35842264,POINT (90.35842264 23.79254339)
"286, AHMED NAGAR MIRPUR","286,",23.79304566,90.35769967,POINT (90.35769967 23.79304566)
210/1/A AHMED NAGOR MIRPUR,210/1/A ,23.79305157,90.35873171,POINT (90.35873171 23.79305157)
"HOUSE/FLAT # 284/4 , BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01914632014","284/4 ,",23.79256024,90.35775171,POINT (90.35775171 23.79256024)
"HOUSE/FLAT # 343/1/A, BLOCK # AHMED NAGAR, MIRPUR, ","343/1/A,",23.79369824,90.35694339,POINT (90.35694339 23.79369824)
"HOUSE/FLAT # COMMON, PLOT # 351/7/A, BLOCK # AHMED NAGUR, MIRPUR, CONTACT NO: 01977437310"," 351/7/A, ",23.79215103,90.35599444,POINT (90.35599444 23.79215103)
"HOUSE/FLAT # COMMON, PLOT # 351/7/A, BLOCK # AHMED NAGUR, MIRPUR,  RIGHT SIDE "," 351/7/A, ",23.79221929,90.35608946,POINT (90.35608946 23.79221929)
"HOUSE/FLAT # 333/A, STR. 333/C, AHMED NAGAR PAIK PARA MIRPUR, DHAKA, DHAKA, CONTACT NO: 01711904484","333/A, ",23.79326251,90.35570914,POINT (90.35570914 23.79326251)
"350/1-A, AHMEDNAGAR MIRPUR","350/1-A, ",23.79285916,90.35574458,POINT (90.35574458 23.79285916)
"HOUSE/FLAT # 350, FLATE NO-2 B, PLOT # FLATE-2 B, BLOCK # AHMEDNAGAR PAIKPARAMIRPUR, MIRPUR,  FRONT SIDE","350, ",23.79311459,90.35585175,POINT (90.35585175 23.79311459)
355/1 AHMED NAGAR MIRPUR DHAKA.,355/1 ,23.7926134,90.35634195,POINT (90.35634195 23.7926134)
"HOUSE/FLAT # 333/4/C, AHMEDNAGAR, PLOT # MIRPUR, MIRPUR, CONTACT NO: 01766090772","333/4/C,",23.79341484,90.35521572,POINT (90.35521572 23.79341484)
184 AHMED NAGAR MIRPUR DHAKA ,184,23.79263052,90.36055044,POINT (90.36055044 23.79263052)
250 AHMED NAGAR PAIK PARA DHAKA,250,23.79361324,90.35796988,POINT (90.35796988 23.79361324)
"HOUSE/FLAT # 250/1, BLOCK # AHMED NAGAR, SECTION # 1, MIRPUR, CONTACT NO: 01612460832","250/1, ",23.79335657,90.35812137,POINT (90.35812137 23.79335657)
"HOUSE/FLAT # 250/1, BLOCK # AHMED NAGAR, SECTION # 1, MIRPUR,  RIGHT SIDE","250/1, ",23.79329004,90.35801572,POINT (90.35801572 23.79329004)
"HOUSE/FLAT # 221/1 , STR. 212/1, AHMED NAGAR, DHAKA, CONTACT NO: 01925778819","221/1 ,",23.79359371,90.35879929,POINT (90.35879929 23.79359371)
"KHANIKA, 202/A, AHMMED NAGOR MIRPUR","202/A, ",23.79261166,90.35976686,POINT (90.35976686 23.79261166)
"212, AHMED NAGAR MIRPUR","212, ",23.79351801,90.35893251,POINT (90.35893251 23.79351801)
"HOUSE/FLAT # 335/3, AHMEDNAGAR, MIRPUR, CONTACT NO: 01838427172","335/3, ",23.79252142,90.35542499,POINT (90.35542499 23.79252142)
"204/4, AHAMMED NAGAR MIRPUR","204/4,",23.79243818,90.35908853,POINT (90.35908853 23.79243818)
"212/5, AHMEDNAGAR MIRPUR","212/5, ",23.7934661,90.35908384,POINT (90.35908384 23.7934661)
"210/1/B, AHMED NAGAR MIRPUR DHAKA","210/1/B,",23.79320861,90.35883078,POINT (90.35883078 23.79320861)
"HOUSE/FLAT # 265/5, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01712117377","265/5, ",23.79236523,90.35915877,POINT (90.35915877 23.79236523)
"291 AHMED NAGOR MIRPUR, DHAKA",291,23.7925144,90.35735948,POINT (90.35735948 23.7925144)
"294 / 2, AHMED NAGAR, PAIKPARA MIRPUR","294 / 2, ",23.79302856,90.35707268,POINT (90.35707268 23.79302856)
"294/1  AHMED NAGAR MIRPUR, DHAKA",294/1 ,23.7930987,90.3571684,POINT (90.3571684 23.7930987)
"295  AHMED NAGAR MIRPUR, DHAKA",295,23.79323642,90.35713731,POINT (90.35713731 23.79323642)
345  AHMED NAGAR MIRPUR DHAKA,345,23.79340781,90.35696719,POINT (90.35696719 23.79340781)
"HOUSE/FLAT # 290/3, ROAD # PAIKPARA, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01716908040","290/3,",23.79282668,90.35745267,POINT (90.35745267 23.79282668)
"290/2, AHMED NAGAR MIRPUR","290/2,",23.7928869,90.35741547,POINT (90.35741547 23.7928869)
"HOUSE/FLAT # 210, BLOCK # AHMED NAGAR, PAIKPARA, MIRPUR-1, CONTACT NO: 01841812074","210, ",23.79311506,90.35912461,POINT (90.35912461 23.79311506)
"259/A, AHMED NAGAR PAIKPARA MIRPUR","259/A,",23.79268116,90.35884443,POINT (90.35884443 23.79268116)
"287/1, AHMED NAGOR MIRPUR, DHAKA","287/1, ",23.79274985,90.35755962,POINT (90.35755962 23.79274985)
"HOUSE/FLAT # 259/2, BLOCK # AHMED NAGAR PAIK PARA, MIRPUR-1, CONTACT NO: 01982200059","259/2, ",23.79268297,90.35907482,POINT (90.35907482 23.79268297)
"353/3/B, AHMED NAGOR PAIKPARA MIRPUR RIGHT SIDE","353/3/B, ",23.79206603,90.35575459,POINT (90.35575459 23.79206603)
351/1 AHMED NAGOR MIRPUR,351/1 ,23.7924022,90.35578535,POINT (90.35578535 23.7924022)
"353/4, AHMED NAGAR MIRPUR DHAKA","353/4,",23.7920827,90.35549308,POINT (90.35549308 23.7920827)
"HOUSE/FLAT # 304/C, PLOT # AHMEDNAGAR, PAIKPARA, MIRPUR-1, CONTACT NO: 01713067918","304/C, ",23.79378717,90.35736785,POINT (90.35736785 23.79378717)
368/3 AHMED NAGAR PAIK PARA MIRPUR,368/3 ,23.7913811,90.35584265,POINT (90.35584265 23.7913811)
130/2 AHMED NAGAR MIRPUR DHAKA ,130/2 ,23.79272136,90.36170418,POINT (90.36170418 23.79272136)
"147/A  AHMED NAGAR MIRPUR, DHAKA",147/A ,23.79235122,90.36201043,POINT (90.36201043 23.79235122)
"HOUSE/FLAT # 333/KHA/1, ROAD # EKOTA ROAD, BLOCK # AHMMADNAGAR, MIRPUR, CONTACT NO: 01961925380","333/KHA/1, ",23.79334743,90.35543302,POINT (90.35543302 23.79334743)
"340/ 3, AHMED NAGAR MIRPUR","340/ 3, ",23.79373646,90.3567391,POINT (90.3567391 23.79373646)
"BLD NO-A/99, FLAT-08 PAIK PARA MIRPUR","A/99,",23.79140034,90.35486258,POINT (90.35486258 23.79140034)
178/3 AHMED NAGAR MIRPUR DHAKA ,178/3 ,23.7935601,90.36075812,POINT (90.36075812 23.7935601)
"177/1, PAIKPARA, MIRPUR, DHAKA","177/1, ",23.79387368,90.36060523,POINT (90.36060523 23.79387368)
"281/2, AHMED NAGAR MIRPUR DHAKA","281/2,",23.79213551,90.35798709,POINT (90.35798709 23.79213551)
"281/3, AHMED NAGAR PAIK PARA MIRPUR","281/3, ",23.79217514,90.35773191,POINT (90.35773191 23.79217514)
"281/3, AHMED NAGAR MIRPUR DHAKA","281/3, ",23.79212159,90.35791816,POINT (90.35791816 23.79212159)
"A-30,FLAT:10 P.W.D. STAFF QUARTER , MIRPUR,DHAKA.
","A-30,
",23.79403223,90.35460372,POINT (90.35460372 23.79403223)
"A-30, FL-26, P.W.D.STAFF QUARTER, MIRPUR, DHAKA
","A-30, ",23.79404902,90.35475582,POINT (90.35475582 23.79404902)
"TIN SHSDE TYPE-B, 30 NO BUILDING NEAR EAST, P.W.D QUARTER
","TIN SHSDE TYPE-B, 30 NO BUILDING NEAR EAST, P.W.D QUARTER
",23.79392024,90.3548365,POINT (90.3548365 23.79392024)
"111/8, 111/8, PAIKPARA STAFF QTR MIRPUR, DHAKA
","111/8, 111/8, 
",23.79185268,90.35440004,POINT (90.35440004 23.79185268)
209/B AHMED NAGAR DHAKA.,209/B ,23.79346024,90.35930481,POINT (90.35930481 23.79346024)
"A-24, FLAT: 24, P.W.D. STAFF QUARTER, MIRPUR, DHAKA
","A-24, 
",23.79418555,90.35384408,POINT (90.35384408 23.79418555)
"208/ 1, AHMED NAGAR, MIRUR","208/ 1, ",23.79367603,90.35923932,POINT (90.35923932 23.79367603)
"354/2, AHMED NAGAR PAIK PARA MIRPUR","354/2, ",23.7927073,90.35609132,POINT (90.35609132 23.7927073)
"355 AHMED NAGAR, MIRPUR,  DHAKA FRONT SIDE",355,23.79261914,90.35624604,POINT (90.35624604 23.79261914)
206/1 AHMED NAGAR MIRPUR DHAKA ,206/1 ,23.79371956,90.360152,POINT (90.360152 23.79371956)
247/2 A AHMED NAGAR DHAKA.  FRONT SIDE,247/2 A ,23.79289699,90.35884286,POINT (90.35884286 23.79289699)
"355 AHMED NAGAR, MIRPUR,  DHAKA.",355,23.79273587,90.35632893,POINT (90.35632893 23.79273587)
"354/5, AHMED NAGAR MIRPUR","354/5,",23.79306176,90.35605696,POINT (90.35605696 23.79306176)
"259/C, AHMED NAGAR PAIKPARA MIRPUR","259/C, ",23.79254452,90.35885095,POINT (90.35885095 23.79254452)
"354/4,AHMED NAGAR MIRPUR,DHAKA.",354/4,23.7929478,90.35607562,POINT (90.35607562 23.7929478)
354/8  AHMED NAGAR MIRPUR DHAKA,354/8 ,23.79319558,90.35612566,POINT (90.35612566 23.79319558)
"TIN SHED-  , PWD STAFF QUARTER
","TIN SHED-  , PWD STAFF QUARTER
",23.79425779,90.35484822,POINT (90.35484822 23.79425779)
354/7 AHMED NAGAR MIRPUR,354/7 ,23.79319607,90.3560253,POINT (90.3560253 23.79319607)
"354/9, AHMED NAGAR MIRPUR","354/9,",23.79309167,90.3561563,POINT (90.3561563 23.79309167)
"A-30, FL-27, P.W.D.STAFF QUARTER, MIRPUR, DHAKA
","A-30,",23.79396191,90.3548354,POINT (90.3548354 23.79396191)
237/5 AHMED NAGAR MIRPUR DHAKA ,237/5 ,23.79408265,90.3585486,POINT (90.3585486 23.79408265)
"369/G, AHMED NAGAR PAIK PARA MIRPUR","369/G,",23.79210244,90.35527658,POINT (90.35527658 23.79210244)
"353/4/C, AHMED NAGAR S.A. KHALEQUE RD. MIRPUR","353/4/C,",23.79217669,90.35528041,POINT (90.35528041 23.79217669)
"BLD NO-A/123,FLAT-02,PAIK PARA MIRPUR",A/123,23.79216734,90.35437,POINT (90.35437 23.79216734)
"BLD NO-A/112, FLAT-03,PAIK PARA MIRPUR","A/112, ",23.79186947,90.35463057,POINT (90.35463057 23.79186947)
"363/3, AHMED NAGAR MIRPUR","363/3,",23.79162897,90.35676407,POINT (90.35676407 23.79162897)
198/2 AHMED NAGAR MIRPUR DHAKA ,198/2,23.7928057,90.36022803,POINT (90.36022803 23.7928057)
199 AHMED NAGAR MIRPUR DHAKA ,199,23.79272607,90.35990165,POINT (90.35990165 23.79272607)
"348/1/A, AHMED NAGAR MIRPUR","348/1/A, ",23.79371047,90.35646177,POINT (90.35646177 23.79371047)
"HOUSE/FLAT # 353/4/E, BLOCK # AHMED NAGAR, MIRPUR, CONTACT NO: 01715285619","353/4/E, ",23.79234263,90.35532349,POINT (90.35532349 23.79234263)
"255, WEST AHMED NAGAR,PAIKPARA, MIRPUR.","255, ",23.79279168,90.3585316,POINT (90.3585316 23.79279168)
"HOUSE/FLAT # 283/1, AHMEDNAGARMIRPUR, MIRPUR, CONTACT NO: 01704740081","283/1, ",23.79222785,90.35831024,POINT (90.35831024 23.79222785)
"HOUSE/FLAT # 256/2, BLOCK #  AHMEDNAGAR, MIRPUR,  FRONT SIDE","256/2,",23.79238724,90.35847085,POINT (90.35847085 23.79238724)
"HOUSE/FLAT # 282/1, BLOCK # AHMED NAGAR, MIRPUR,  FRONT SIDE","282/1, ",23.79216298,90.35809139,POINT (90.35809139 23.79216298)
"HOUSE/FLAT # 283 AHMED NAGOR, BLOCK # PAIKPARAMIRPUR, MIRPUR, CONTACT NO: 01747423416",283 A,23.79230316,90.35830826,POINT (90.35830826 23.79230316)
374 AHMED NAGAR PAIK PARA DHAKA RRIGHT SIDE,374,23.79209311,90.35749577,POINT (90.35749577 23.79209311)
374 AHMED NAGAR PAIK MIRPUR DHAKA.,374,23.79213323,90.3574367,POINT (90.3574367 23.79213323)
374/4 AHMED NAGAR DHAKA,374/4 ,23.79217326,90.35710826,POINT (90.35710826 23.79217326)
377/3  AHMED NAGAR MIRPUR DHAKA,377/3 ,23.79221434,90.35680539,POINT (90.35680539 23.79221434)
"377,PAIKPARA, MIRPUR",377,23.79207166,90.35705147,POINT (90.35705147 23.79207166)
